#,Yogasana Name,IAST Name,2001 Edition Page,Intensity,Intermediate Plate,Final Asana Plate,Note,2015 Edition Page,Formatted Description,Pranayama Description,Pranayama Cautions,Pranayama Effects,Variation
168,Kandasana,Kandāsana,348,39,467-469,470|471b,,291,"168 / Kandasana
Kanda (bulbous knot) pose. Technique: Bring feet up, place heels and outer sides of feet against navel and chest. (Image 470 and 471). Effects: Restores sexual energy.
Bring feet up, place heels and outer sides of feet against navel and chest. (Image 470 and 471). Effects: Restores sexual energy.
Restores sexual energy, stimulates hypogastric plexus.
",,,,
169,Hanumanasana,Hanumānāsana,352,36,472-474,475|476a,,294,"169 / Hanumanasana
Monkey chief (splits). Technique: 1. Legs spread laterally, splits. 2. Namaste. (Image 475). Effects: Recommended for runners and sprinters.
1. Legs spread laterally, splits. 2. Namaste. (Image 475). Effects: Recommended for runners and sprinters.
Cures sciatica, tones leg muscles, recommended for runners.
",,,,
170,Samakonasana,Samakọnāsana,354,38,,477,,296,"170 / Samakonasana
Sideways splits. Both legs and pelvic region in one straight line. (Image 477). Effects: Prevents hernia, relieves sciatic pains.
No technique steps provided.
Exercises hip joints, stretches lower spine.
",,,,
171,Supta Trivikramasana,Supta Trivikramāsana,356,39,,478,,297,"171 / Supta Trivikramasana
Vishnu's stride (reclining). Technique: Lie flat, pull one leg down behind head, big toe to floor. (Image 478). Effects: Stills the mind.
Lie flat, pull one leg down behind head, big toe to floor. (Image 478). Effects: Stills the mind.
Fully stretches legs, cures hernia, stills the mind.
",,,,
172,Urdhva Dhanurasana I,Ūrdhva Dhanurāsana I,357,7,479-481,482,,298,"172 / Urdhva Dhanurasana I
Upward bow (wheel). Technique: 1. Lie flat. 2. Arched back supported on palms and soles. (Image 482).
1. Lie flat. 2. Arched back supported on palms and soles. (Image 482).
Strengthens back/limbs, expands chest, tones spine.
",,,,
172a,Urdhva Dhanurasana II,Ūrdhva Dhanurāsana II,359,15,483-485,486-487,172a in book not 172.5,299,"172 / Urdhva Dhanurasana II
Upward bow (wheel). Technique: 1. Lie flat. 2. Arched back supported on palms and soles. (Image 482).
1. Lie flat. 2. Arched back supported on palms and soles. (Image 482).
Strengthens back/limbs, expands chest, tones spine.
",,,,
173,Viparita Chakrasana in Urdhva Dhanurasana,Viparīta Chakrāsana in Ū. Dh.,361,26,,488|499,,301,"173 / Viparita Chakrasana in Urdhva Dhanurasana
Reversed wheel. Technique: Reverse somersault from Urdhva Dhanurasana. (Image 488-499). Effects: Soothing effect on the head.
Reverse somersault from Urdhva Dhanurasana. (Image 488-499). Effects: Soothing effect on the head.
Advanced backbend, tones entire spine, energy/lightness.
",,,,
174,Eka Pada Urdhva Dhanurasana,Eka Pāda Ūrdhva Dhanurāsana,365,12,500,501-502,,304,"174 / Eka Pada Urdhva Dhanurasana
One-leg wheel. Balance on one hand and one foot, other leg up. (Image 501 and 502).
No technique steps provided.
Develops balance and grace in intense backbends.
",,,,
175,Kapotanasana,Kapotāsana,367,21,503-506|508-511,507|512,,307,"175 / Kapotanasana
Dove pose. Technique: Kneel, arch back, catch heels, rest crown of head on soles. (Image 507 and 512). Effects: Masses heart gently.
Kneel, arch back, catch heels, rest crown of head on soles. (Image 507 and 512). Effects: Masses heart gently.
Tones spine, heart massage, healthy genital organs.
",,,,
176,Laghuvajrasana,Laghuvajrāsana,372,23,,513,,309,"176 / Laghuvajrasana
Little thunderbolt. Technique: Kneel, arch back until head rests on feet, hands on knees. (Image 513). Effects: Tones spinal nerves.
Kneel, arch back until head rests on feet, hands on knees. (Image 513). Effects: Tones spinal nerves.
Tones spinal nerves and coccyx, relieves disc displacement.
",,,,
177,Dwi Pada Viprarita Dandasana,Dwi Pāda Viparīta Dạṇdāsana,373,24,514-515|517-520,516,,310,"177 / Dwi Pada Viprarita Dandasana
Two-leg inverted staff. Technique: Arched bridge on crown of head and elbows, interlocked fingers (headstand arms). (Image 516). Effects: Soothing effect on mind.
Arched bridge on crown of head and elbows, interlocked fingers (headstand arms). (Image 516). Effects: Soothing effect on mind.
Relieves coccyx pain, soothing effect on the mind.
",,,,
178,Eka Pada Viprarita Dandasana I,Eka Pāda Viparīta Dạṇdāsana I,377,26,,521,,313,"178 / Eka Pada Viprarita Dandasana I
One-leg inverted staff I. Lift one leg vertically. (Image 521).
No technique steps provided.
Intense spinal toning and chest expansion.
",,,,
179,Eka Pada Viprarita Dandasana II,Eka Pāda Viparīta Dạṇdāsana II,378,29,522,523,,314,"179 / Eka Pada Viprarita Dandasana II
One-leg inverted staff II. Walk feet to head, catch one ankle, lift other leg. (Image 523).
No technique steps provided.
Strenuous abdominal and spinal exercise.
",,,,
180,Chakra Bandhasana,Chakra Bandhāsana,379,31,,524,,315,"180 / Chakra Bandhasana
Nerve-centre bound pose. Technique: Catch both ankles while in inverted staff. (Image 524). Effects: Stimulates all seven chakras.
Catch both ankles while in inverted staff. (Image 524). Effects: Stimulates all seven chakras.
Stimulates all 7 chakras, benefits adrenals and kidneys.
",,,,
181,Mandalasana,Mạṇdalāsana,381,27,,525-535,,316,"181 / Mandalasana
Wheel/Orbit. Technique: Circle legs 360 degrees around stationary head in headstand. (Image 525-535). Effects: Promotes longevity.
Circle legs 360 degrees around stationary head in headstand. (Image 525-535). Effects: Promotes longevity.
Promotes longevity, keeps spine in trim.
",,,,
182,Vrschikasana I,Ṿrśchikāsana I,386,32,,536-537,,319,"182 / Vrschikasana I
Forearm scorpion. Technique: Pincha Mayurasana transition, heels to head. (Image 536 and 537).
Pincha Mayurasana transition, heels to head. (Image 536 and 537).
Stamps out pride/anger, tones spine, vigorous health.
",,,,
183,Vrschikasana II,Ṿrśchikāsana II,386,33,,538,,320,"183 / Vrschikasana II
Handstand scorpion. Technique: Handstand balance, heels to head. (Image 538). Effects: Kicking head seeks to develop humility; subjugation of ego.
Handstand balance, heels to head. (Image 538). Effects: Kicking head seeks to develop humility; subjugation of ego.
Tremendous wrist strength, eradicates ego.
",,,,
184,Eka Pada Rajakapotasana I,Eka Pāda Rājakapotāsana I,389,28,539-541,542,,322,"184 / Eka Pada Rajakapotasana I
King pigeon I. One leg forward bent, other back, catch foot over head. (Image 542).
No technique steps provided.
King of pigeons, rejuvenates lumbar/dorsal spine.
",,,,
185,Valakhilyasana,Vālakhilyāsana,391,45,543,544,,324,"185 / Valakhilyasana
Thumb-sized spirits pose. Continuation of King Pigeon I. Rear leg flat on floor. (Image 544). Effects: Disorders of urinary system rectified.
No technique steps provided.
Counter-movement to Janu Sirsasana, helps urinary system.
",,,,
186,Eka Pada Rajakapotasana II,Eka Pāda Rājakapotāsana II,392,29,,545,,325,"186 / Eka Pada Rajakapotasana II
King pigeon II. One leg Marichyasana style, other back, catch foot. (Image 545).
No technique steps provided.
Rejuvenates nerves at navel, tones liver and spleen.
",,,,
187,Eka Pada Rajakapotasana III,Eka Pāda Rājakapotāsana III,393,30,,546,,326,"187 / Eka Pada Rajakapotasana III
King pigeon III. One leg Virasana style, other back, catch foot. (Image 546).
No technique steps provided.
Rejuvenates spine, strengthens thighs/ankles.
",,,,
188,Eka Pada Rajakapotasana IV,Eka Pāda Rājakapotāsana IV,394,40,,547,,327,"188 / Eka Pada Rajakapotasana IV
King pigeon IV. From Hanumanasana splits, bend back leg, catch foot over head. (Image 547).
No technique steps provided.
Deepest extension, vitalizes thyroids and adrenals.
",,,,
189,Bhujangasana II,Bhujangāsana II,396,37,548-549,550,,328,"189 / Bhujangasana II
intensified cobra. Catch knee-caps from stomach backbend. (Image 550).
No technique steps provided.
intensified cobra, benefits pubic region and vitality.
",,,,
190,Rajakapotanasana,Rājakapotāsana,397,38,552,551,,330,"190 / Rajakapotanasana
Full King Pigeon. Arch head to soles, catch both knee-caps. (Image 551). Effects: Recommended for controlling sexual desire.
No technique steps provided.
Lumbar and dorsal stretch, increases vitality, controls sex desire.
",,,,
191,Padangustha Dhanurasana,Pādāngụṣtha Dhanurāsana,399,43,553-554|556-557,555,,332,"191 / Padangustha Dhanurasana
Big toe bow. Intense Dhanurasana, catch big toes, pull heels to head. (Image 555). Effects: Shoulder-blades well stretched.
No technique steps provided.
Blood circulates properly in navel, pasive/still mind.
",,,,
192,Gherandasana I,Gherạṇdāsana I,403,44,558-560,561-563,,335,"192 / Gherandasana I
Dedicated to sage Gheranda. One leg Bhekasana, other Padangustha Dhanurasana. (Image 561 and 562).
No technique steps provided.
Combined leg work, tones spinal column.
",,,,
193,Gherandasana II,Gherạṇdāsana II,405,46,,564-566,,337,"193 / Gherandasana II
One leg Baddha Padmasana, other Padangustha Dhanurasana. (Image 564 and 565).
No technique steps provided.
Corrects flat feet, relieves calcaneal spurs/rheumatism.
",,,,
194,Kapinjalasana,Kapiṅjalāsana,408,43,,567,,339,"194 / Kapinjalasana
Partridge pose. Combination of Vasisthasana and Padangustha Dhanurasana. (Image 567).
No technique steps provided.
Wrists strengthened, vertebrae benefit, expanded chest.
",,,,
195,Sirsa Padasana,Sīṛsa Pādāsana,409,52,568-569,570,,341,"195 / Sirsa Padasana
Head-to-foot. Arch from headstand, heels to neck, catch toes. (Image 570). Effects: Nerves do not degenerate.
No technique steps provided.
Copious blood supply to spine, nerves do not degenerate.
",,,,
196,Ganda Bherundasana,Gạṇda Bherụṇdāsana,411,56,571-579|582-583,580-581,,344,"196 / Ganda Bherundasana
Formidable side face. Balance on chin/neck, feet to floor in front of head. (Image 580 and 581). Effects: Improved vitality.
No technique steps provided.
Rejuvenates pelvic and pharyngeal plexuses, vital power.
",,,,
197,Viparita Salabhasana,Viparīta Śalabhāsana,416,58,,584,,346,"197 / Viparita Salabhasana
Inverted locust. Chin balance, feet to floor beyond head (Halasana style). (Image 584). Effects: Awaken Kundalini.
No technique steps provided.
Awakens Kundalini, releases ego.
",,,,
198,Tiriang Mukhottanasana,Tiriang Mukhottānāsana,418,60,585,586,,347,"198 / Tiriang Mukhottanasana
Upside down face stretch. Catch shins from standing backbend. (Image 586).
No technique steps provided.
Strengthens legs, vitalizes spine and organs.
",,,,
199,Natarajasana,Nạtarājāsana,419,58,587|589,590-591|591a,,350,"199 / Natarajasana
Lord of the Dance (Siva). Technique: Stand, catch big toe, rotate shoulder, pull into bow. (Image 590-591a). Effects: Poise and graceful carriage.
Stand, catch big toe, rotate shoulder, pull into bow. (Image 590-591a). Effects: Poise and graceful carriage.
Poise and graceful carriage; tones legs; expands chest.
",,,,
S_I,Mrtasana,Ṃrtāsana,422,,,592,nan; Alternate names: Savasana,352,"200 / Savasana
Corpse pose. Technique: Motionless conscious relaxation. energy flow from back of head to heels. (Image 592). Effects: Antidote to stresses of modern civilisation.
Motionless conscious relaxation. energy flow from back of head to heels. (Image 592). Effects: Antidote to stresses of modern civilisation.
Removes fatigue; antidote for modern stress; invigorates body and mind.
","1. Remove constricting garments, belts, glasses, contact lenses, hearing aids, and so on. 2. Choose a clean, level place free from insects, noise, and unpleasant smells. Do not practice on a hard floor or an unyielding surface or on a soft mattress. 3. Savasana is performed lying down full length on the back on a blanket spread on the floor. Draw a straight line there to position the body correctly. 4. Sit on the drawn line with the knees drawn up and the feet together. 5. Gradually lower the back vertebra by vertebra along the drawn line on the floor or on the blanket. 6. Place the body accurately so that the middle of the spine lies exactly on the straight line drawn on the floor or blanket. 7. Press the feet on the floor; lift the hips as well as the sacroiliac region; and with your hands, move the flesh and the skin from the back of the waist down towards the buttocks. 8. First adjust the back of the body. Then adjust the head from the front. 9. Extend first one leg and then the other fully. Join both the heels and knees. The joined heels, knees, crotch, center of the coccyx, the spinal column, and base of the skull should rest exactly on the straight line. 10. Adjust the front of the body, keeping the center of the eyebrows, the bridge of the nose, chin, sternum, navel, and center of the pubis in line.","Remove constricting garments, belts, glasses, contact lenses, hearing aids, and so on. Choose a clean, level place free from insects, noise, and unpleasant smells. Do not practice on a hard floor, an unyielding surface, or a soft mattress.",Practicing Savasana can lead to a sense of timelessness and relaxation. It helps in silencing the tissues of the physical body and quieting the mind.,Stage I
S_II,Mrtasana,Ṃrtāsana,422,,,592,nan; Alternate names: Savasana,352,"200 / Savasana
Corpse pose. Technique: Motionless conscious relaxation. energy flow from back of head to heels. (Image 592). Effects: Antidote to stresses of modern civilisation.
Motionless conscious relaxation. energy flow from back of head to heels. (Image 592). Effects: Antidote to stresses of modern civilisation.
Removes fatigue; antidote for modern stress; invigorates body and mind.
","1. To prevent any tilt of the body, keep it straight and level. 2. Draw an imaginary line straight along the center of the forehead, eyebrows, root of the nose, middle of the lips, chin, throat, and sternum; center of the diaphragm; navel and pubis, and then through the space between the inner sides of the thighs, knees, calves, ankles, and heels. 3. Check that the body is level, starting with the head, keeping the two ears, outer corners of the eyes, the lips, and the base of the jaw-bone parallel to the floor. 4. Finally, stretch and adjust the back of the neck so that it is centrally placed on the floor.","Remove constricting garments, belts, glasses, contact lenses, hearing aids, and so on. Choose a clean, level place free from insects, noise, and unpleasant smells. Do not practice on a hard floor, an unyielding surface, or a soft mattress.",Practicing Savasana can lead to a sense of timelessness and relaxation. It helps in silencing the tissues of the physical body and quieting the mind.,Stage II
S_III,Mrtasana,Ṃrtāsana,422,,,592,nan; Alternate names: Savasana,352,"200 / Savasana
Corpse pose. Technique: Motionless conscious relaxation. energy flow from back of head to heels. (Image 592). Effects: Antidote to stresses of modern civilisation.
Motionless conscious relaxation. energy flow from back of head to heels. (Image 592). Effects: Antidote to stresses of modern civilisation.
Removes fatigue; antidote for modern stress; invigorates body and mind.
","1. Pin the apex (inner point) of each shoulder blade to the floor. 2. Roll the skin of the top chest from the collar-bones towards the shoulder blades and adjust the back to rest perfectly on the blanket. 3. See that the dorsal and lumbar areas of the spine rest evenly on either side and that the ribs spread out uniformly. 4. Rest the center of the sacrum on the floor so that the buttocks relax evenly. 5. Draw a line between the nipples, floating ribs, and pelvic bones to keep them parallel to the floor.","Remove constricting garments, belts, glasses, contact lenses, hearing aids, and so on. Choose a clean, level place free from insects, noise, and unpleasant smells. Do not practice on a hard floor, an unyielding surface, or a soft mattress.",Practicing Savasana can lead to a sense of timelessness and relaxation. It helps in silencing the tissues of the physical body and quieting the mind.,Stage III
